iter	TotalF1	MultiClass	Accuracy
0	0.4704016355	1.092654614	0.5451358457
1	0.4911664286	1.085423955	0.5766871166
2	0.4886182664	1.083800114	0.574057844
3	0.4894481514	1.08163255	0.5749342682
4	0.4768132384	1.079244843	0.5617879053
5	0.5028571299	1.070436491	0.5889570552
6	0.4917796297	1.067973378	0.5766871166
7	0.4935662247	1.063372509	0.5793163891
8	0.4906026284	1.062578747	0.5766871166
9	0.4849879841	1.061292938	0.5723049956
10	0.4725420911	1.059720405	0.5591586328
11	0.471604176	1.058054084	0.5591586328
12	0.4860760592	1.052608531	0.574057844
13	0.487769979	1.052010154	0.5766871166
14	0.4931635231	1.046861389	0.5810692375
15	0.500266012	1.03911917	0.5872042068
16	0.5031425121	1.034051708	0.5898334794
17	0.5006977835	1.03296946	0.5872042068
18	0.5010446542	1.027172261	0.5872042068
19	0.5024322442	1.025289645	0.5889570552
20	0.5063067082	1.024682631	0.5933391762
21	0.5067943883	1.023068065	0.5942156004
22	0.5037688938	1.018361924	0.5907099036
23	0.5045047518	1.017145251	0.5915863278
24	0.5020144354	1.016332218	0.5889570552
25	0.5042659209	1.016018746	0.5915863278
26	0.502664481	1.015497749	0.5898334794
27	0.505132376	1.014571239	0.592462752
28	0.5050372814	1.014242542	0.592462752
29	0.5056205576	1.012479993	0.5933391762
30	0.5030817122	1.011686253	0.5907099036
31	0.503089151	1.011357432	0.5907099036
32	0.5041939742	1.00870605	0.592462752
33	0.5036489813	1.006579001	0.592462752
34	0.5021409975	1.005882533	0.5907099036
35	0.5014163881	1.00560193	0.5898334794
36	0.4998425827	1.005431402	0.588080631
37	0.4966934455	1.004608411	0.5845749343
38	0.5030593374	0.999715633	0.5915863278
39	0.5014839888	0.9987221407	0.5898334794
40	0.5014224037	0.998575275	0.5898334794
41	0.5047217771	0.9951145117	0.5933391762
42	0.5031424618	0.994614108	0.5915863278
43	0.5026011299	0.9911449316	0.5915863278
44	0.5044638434	0.9878835933	0.5933391762
45	0.5050564008	0.984345934	0.5942156004
46	0.5015290999	0.9820160955	0.5907099036
47	0.5026100662	0.9808621514	0.5915863278
48	0.5016697731	0.9799220192	0.5907099036
49	0.5015290999	0.9795296955	0.5907099036
50	0.5011627047	0.9761200944	0.5898334794
51	0.5012903019	0.9725648769	0.5898334794
52	0.5046914471	0.9715433578	0.5933391762
53	0.5024968256	0.9701571232	0.5907099036
54	0.5049498327	0.9696010571	0.5933391762
55	0.5056762522	0.9685838952	0.5942156004
56	0.5089513433	0.9655148648	0.5977212971
57	0.5066040594	0.9628382214	0.5950920245
58	0.5105839121	0.9615837626	0.5994741455
59	0.5089513433	0.9614345986	0.5977212971
60	0.5081088331	0.9613862422	0.5968448729
