iter	Passed	Remaining
0	187	187119
1	218	108875
2	248	82634
3	278	69380
4	309	61564
5	339	56282
6	369	52354
7	399	49546
8	407	44818
9	438	43450
10	468	42104
11	502	41349
12	541	41119
13	550	38805
14	580	38130
15	610	37537
16	643	37228
17	664	36277
18	694	35868
19	709	34768
20	731	34115
21	763	33951
22	796	33849
23	826	33597
24	854	33340
25	862	32303
26	875	31568
27	905	31423
28	934	31291
29	965	31207
30	994	31093
31	1016	30740
32	1030	30191
33	1050	29858
34	1078	29747
35	1108	29685
36	1116	29057
37	1144	28975
38	1174	28948
39	1204	28905
40	1218	28508
41	1253	28584
42	1286	28623
43	1316	28604
44	1337	28391
45	1367	28370
46	1397	28344
47	1420	28167
48	1449	28135
49	1479	28114
50	1509	28092
51	1537	28037
52	1578	28199
53	1608	28170
54	1636	28113
55	1654	27893
56	1685	27885
57	1699	27597
58	1727	27552
59	1774	27807
60	1784	27465
